,Date,Close,High,Low,Open,Volume
2701,3/23/2021,220.7200012,225.9333344,219.1699982,225.2566681,91475700
2702,3/24/2021,210.0899963,222.6733398,210.0366669,222.636673,101385600
2703,3/25/2021,213.4633331,215.1666718,203.1666718,204.3333282,117674700
2704,3/26/2021,206.2366638,214.6066742,199.9633331,213.956665,101558400
2705,3/29/2021,203.7633362,205.4933319,198.6733398,205.2133331,85911000
2706,3/30/2021,211.8733368,212.5533295,197.0033264,200.5833282,118297200
2707,3/31/2021,222.6433258,224,213.7033386,215.5399933,100011900
2708,4/1/2021,220.5833282,230.8066711,219.8066711,229.456665,105895200
2709,4/5/2021,230.3500061,236.0533295,228.2333374,235.9033356,125528400
2710,4/6/2021,230.5399933,232.1833344,227.1233368,230.1000061,84815400
2711,4/7/2021,223.656662,230.4600067,222.613327,229,78928200
2712,4/8/2021,227.9333344,229.8500061,223.8833313,225.793335,71772900
2713,4/9/2021,225.6733398,226.9900055,223.1433258,225.9233398,64311300
2714,4/12/2021,233.9933319,234.9333344,227.363327,228.5666656,87407100
2715,4/13/2021,254.1066742,254.3333282,236.886673,237.5666656,133958400
2716,4/14/2021,244.0766602,260.2633362,242.6766663,256.8999939,147052200
2717,4/15/2021,246.2833405,247.8966675,240.4366608,247.6999969,83546700
2718,4/16/2021,246.593338,249.8033295,241.5333405,242.8833313,83938500
2719,4/19/2021,238.2100067,241.8000031,230.6000061,239.8666687,119058600
2720,4/20/2021,239.6633301,245.75,236.8966675,239.1399994,106827000
2721,4/21/2021,248.0399933,248.2799988,232.6666718,234.9233398,93646500
2722,4/22/2021,239.8966675,251.2566681,239.3466644,247.1666718,106770900
2723,4/23/2021,243.1333313,245.7866669,238.4866638,239.9333344,85110000
2724,4/26/2021,246.0666656,249.7666626,244.2033386,247,93115500
2725,4/27/2021,234.9133301,241.3333282,234.4499969,239.3200073,88311000
2726,4/28/2021,231.4666595,236.1666718,231.1999969,232.136673,66813000
2727,4/29/2021,225.6666718,234.0833282,222.8333282,233.1699982,86536200
